naas_cd,naas_nm,naas_ch_nm,naas_en_nm,birth_dt,party,district,district_type,committee,belonging_committee,election_type,gender,phone,email,website,office,photo_url,bio
T2T8225E,강경숙,姜景淑,KANG KYUNGSOOK,1967-05-02,조국혁신당,비례대표,비례대표,교육위원회,교육위원회,초선,여,02-784-5601,gracesook52@rebuildingk.kr,https://blog.naver.com/grace6752,의원회관 515호,https://www.assembly.go.kr/static/portal/img/openassm/new/68f83caf0c9e4546b1694ead863f45ce.jpg,2024.5~ 제22대 국회의원 (비례대표/조국혁신당) 2021.2~2023.2 장애인정책조정위원회 위원 2021 대통령직속 국가균형발전위원회 위원 2017.12~2018 대통령직속 국가교육회의 위원 2013.7~2014.7 미국 워싱턴대학교 특수교육과 연구교수 ~2012.3 원광대학교 입학기획부처장 2011.1 원광대학교 입학사정관실장 2007.4~ 원광대학교 중등특수교육과 교수 2000.3~2007.3 교육부 국립특수교육원 교육연구사 1993.3~2000.2 은평학교 특수교육 교사 1991.4~1992.8 세이브더칠드런 해외사업부
L2I9861C,강대식,姜大植,KANG DAESIK,1959-11-02,미래통합당/국민의힘,대구 동구을/대구 동구군위군을,지역구/지역구,국방위원회,국방위원회,재선,남,02-784-5275,kds21341@naver.com,,의원회관 341호,https://www.assembly.go.kr/static/portal/img/openassm/new/d1fe9f0902d84f0ba74f721d3298be7f.png,[학력] 송정초등학교 안심중학교 경북대학교 사범대학 부속고등학교 영남대학교 경영대학원 경영학 석사 영남대학교 대학원 경영학 박사 [경력] 현) 제21대 국회 국토교통위원회 위원 현) 제21대 국회 예산결산위원회 위원 현) 제21대 국회의원 (대구 동구을/국민의힘) 현) 대구경북신공항 여야정 협의체 위원 현) 국민의힘 천안함 생존 장병과 유가족 지원을 위한 TF 위원 현) 한중차세대리더포럼 회원 현) 국회 아시아정당국제회의 의원연맹 회원 현) 국민의힘 약자와의동행위원회 위원 현) 국민의힘 호남동행 국회의원 모임 위원 전) 국민의힘 조직부총장 전) 제8회전국동시지방선거 국민의힘 중앙선대위 조직본부장 전) 6.1국회의원 재&middot;보궐선거 국민의힘 공천관리위원 전) 국회 정치개혁특별위원회&middot;공직선거법 및 지방선거구제개편심사소위원회 위원 전) 국회 국방위원회 및 예산심사소위&middot;법안심사소위 위원 전) 국민의힘 원내부대표 전) 국민의힘 제20대 대선 중앙선대본부 직능총괄본부 지방자치지원본부장 전) 국민의힘 제20대 대선 대구선대위 조직강화본부장 전) 국민의힘 대선 경선 유승민 후보 대외협력본부장 전) 국민의힘 초선의원 모임 운영위원 전) 대구광역시 동구 구청장 전) 대구광역시 동구의회 의장 전) 대구광역시 동구의회 의원 전) 대구광역시 동구문화재단 이사장
8P37634C,강득구,姜得求,KANG DEUKGU,1963-05-27,더불어민주당/더불어민주당,경기 안양시만안구/경기 안양시만안구,지역구/지역구,"환경노동위원회, 기후위기 특별위원회","환경노동위원회, 기후위기 특별위원회",재선,남,02-784-2747~9,mainsail440@daum.net,http://blog.naver.com/dulipapa,의원회관 814호,https://www.assembly.go.kr/static/portal/img/openassm/new/0410a0c8e24b474cac2fd79c7700ca2f.jpg,"2024. 5. ~ 현재 국회 환경노동위원회 위원 2024. 2. ~ 현재 김대중재단 경기도지부회장 2024. 2. ~ 현재 자치분권경기연대 상임대표 2024. 4. ~ 2024. 7. 더불어민주당 수석사무부총장 2023. 4. ~ 2024. 4. 더불어민주당 정책위원회 상임부의장 2023. 2. ~ 2024. 5. 국회 인구위기특별위원회 위원 2020. 7. ~ 2024. 5. 국회 교육위원회 위원(전반기, 후반기) 2020. 5. ~ 현재 국회의원, 더불어민주당 안양시만안구 지역위원장 2022. 4. ~ 2023. 5. 국회 운영위원회 위원 2022. 3. ~ 2023. 4. 더불어민주당 원내부대표 2021. 7. ~ 2022. 6. 국회 예산결산특별위원회 위원 2018. 10. ~ 2019. 5. 민주연구원 자치발전연구센터 본부장 2016. 10. ~ 2018. 3. 경기도 연정부지사 2014. 7. ~ 2016. 1. 경기도의회 의장 2010. 7. ~ 2014. 6. 경기도의회 의원(2013. 7. ~ 2014. 6. 민주당 대표) 1998. 7. ~ 2002. 6. 경기도의회 의원"
9901388T,강명구,姜明求,KANG MYOUNGGU,1977-06-07,국민의힘,경북 구미시을,지역구,농림축산식품해양수산위원회,농림축산식품해양수산위원회,초선,남,02-784-2844~6,myounggu.power@gmail.com,https://blog.naver.com/0909kmg,의원회관 1018호,https://www.assembly.go.kr/static/portal/img/openassm/new/9f095290d68b47638983c7db100c2eb0.jpg,□ 학력 영국 맨체스터대학교 대학원 정치학-행정과 공공정책 석사 (2008.09.-2009.11.) 경희대학교 대학원 정치학 석사(2007) □ 주요경력 現 제22대 국회의원(경북 구미시을) 現 국민의힘 포털 불공정개혁TF 위원 現 국민의힘 AI반도체특별위원회 위원 現 국민의힘 재정세재개편특별위원회 위원 前 국민의힘 비상대책위원장 비서실장 前 국민의힘 원내부대표 前 대통령비서실 국정기획비서관 前 경희대학교 정치외교학과 객원교수 前 미국 존스홉킨스대학교 국제관계대학원 SAIS 객원연구원 前 여의도연구원 정책연구실 객원연구원
GX22581L,강민국,姜旻局,KANG MINKUK,1971-03-03,미래통합당/국민의힘,경남 진주시을/경남 진주시을,지역구/지역구,정무위원회,정무위원회,재선,남,02-784-0797,strongwind01@naver.com,https://www.youtube.com/@strongwind01,의원회관 1007호,https://www.assembly.go.kr/static/portal/img/openassm/new/70f21f66d1ea471192858adb6f379299.png,"[학력] - 경남대학교 대학원 법학과 졸업 (법학박사) [경력] - 현) 제21, 22대 국회의원 (경남 진주시을) - 현) 국민의힘 경상남도당 위원장 - 현) 제22대 국회 정무위원회 간사 - 전) 제21대 대통령선거 국민의힘 김문수 후보 중앙선거대책위원회 공보단장 - 전) 국민의힘 경상남도당 4.2 재&middot;보궐선거 공천관리위원회 위원장 - 전) 국민의힘 경상남도당 4.10 재&middot;보궐선거 공천관리위원회 위원장 - 전) 제22대 국회 운영위원회 위원 - 전) 제21대 국회 정무위원회 위원 - 전) 국민의힘 원내대변인 - 전) 국민의힘 원내부대표 - 전) 제20대 대통령선거 국민의힘 윤석열 후보 중앙선거대책위원회 종합지원총괄본부 당무조정본부장 - 전) 제20대 대통령선거 국민의힘 윤석열 후보 중앙선거대책위원회 경상남도본부장 - 전) 국회 정치개혁특별위원회 위원 - 전) 국회 중앙선거관리위원회 위원 선출에 관한 인사청문특별위원회 위원 - 전) 제21대 국회 예산결산특별위원회 위원 - 전) 국민의힘 경상남도당 4.5 재보궐선거 공천관리위원회 위원장 - 전) 국민의힘 수석대변인 - 전) 국민의힘 경상남도당 수석부위원장 - 전) 제10대 &middot;제11대 경상남도의회 의원 - 전) 제11대 전반기 경상남도의회 건설소방위원회 위원장"
NQO7187X,강선영,姜善榮,KANG SUNYOUNG,1966-09-24,국민의미래,비례대표,비례대표,"국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회","국방위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",초선,여,02-784-1571,335kang@naver.com,https://blog.naver.com/335kang,의원회관 335호,https://www.assembly.go.kr/static/portal/img/openassm/new/89a10eac7851470598886907100ae5ad.jpg,■ 학력 숙명 여자대학교 졸업(행정학사) 서울대학교 행정대학원 정책학 석사 수료 ■ 경력 현) 제22대 국회의원(국민의힘 비례대표) 현) 국민의힘 원내부대표 현) 국회 운영위원회 위원 현) 국민의힘 국가안보위원장 현) 국회 국방위원회 위원 전) 국민의힘 외교안보특별위원회 간사 전) 숙명여자 대학교 안보학교수 (석좌교수) 전) 재향군인회 여성회 자문위원 전) 육군협회 이사 전) 대한민국 육군 항공작전사령관 겸 항공병과장 전) 대한민국 육군 소장 전) 육군항공학교 학교장
MNZ4401T,강선우,姜仙祐,KANG SUNWOO,1978-06-02,더불어민주당/더불어민주당,서울 강서구갑/서울 강서구갑,지역구/지역구,"연금개혁 특별위원회, 외교통일위원회","연금개혁 특별위원회, 외교통일위원회",재선,여,02-784-5761~3,gangseo.kap@gmail.com,http://blog.naver.com/gangseo-kap,의원회관 418호,https://www.assembly.go.kr/static/portal/img/openassm/new/129a16b2bcda41578deb4f1f1009f297.jpg,□ 학력 - 이화여자대학교 사범대학 영어교육학과 학사 - 이화여자대학교 대학원 소비자인간발달학과 석사 - 미국 위스콘신대학교 매디슨 캠퍼스 인간발달 및 가족학 박사 □ 주요 약력 - (현) 국회 외교통일위원회 위원 - (현) 더불어민주당 세월호특별위원회 부위원장 - (현) 국회 연금개혁특별위원회 위원 - (현) 더불어민주당 연금개혁특별위원회 위원 - (현) 한미의원연맹 이사 - (현) 더불어민주당 국제외교협력본부 본부장 - (현) 더불어민주당 항공참사대책위원회 희생자가족지원단 위원 - (현) 더불어민주당 내란극복&middot;국정안정 특별위원회 국제협력단장 - (현) 더불어민주당 직능대표자회의 부의장 - (현) 더불어민주당 외교안보통일자문회의 부의장 - (현) 더불어민주당 이태원참사특별위원회 위원 - (현) 더불어민주당 의료대란대책특위 부위원장 - (현) 더불어민주당 국제위원회 위원장 - (현) 자립준비청년 멘티-멘토 프로그램 희망디딤돌 캠페인 자문위원 - (전) 제22대 국회 전반기 보건복지위원회 간사 - (전) 더불어민주당 보건복지정책조정위원회 위원장 - (전) 국회국제보건의료포럼 당연직 이사 - (전) 더불어민주당 세계한인민주회의 부의장 - (전) 더불어민주당 초저출생인구위기대응위원회 위원 - (전) 제21대 국회 보건복지위원회 위원 - (전) 더불어민주당 대변인 - (전) 국회 예산결산특별위원회 위원 - (전) 국회 여성가족위원회 위원 - (전) 더불어민주당 원내부대표 - (전) 대통령 직속 국가교육회의 전문위원 - (전) 미국 사우스다코타주립대학교 조교수 [지역사무실] 서울 강서구 강서로 205 케이빌딩 6층 T: 02-2604-2300 / F:02-2604-2309
42K7317Y,강승규,姜升圭,KANG SEUNGKYOO,1963-09-20,한나라당/국민의힘,서울 마포구갑/충남 홍성군예산군,지역구/지역구,"산업통상자원중소벤처기업위원회, 예산결산특별위원회","산업통상자원중소벤처기업위원회, 예산결산특별위원회",재선,남,02-784-7141,teamkang9@gmail.com,https://www.assembly.go.kr/members/22nd/KANGSEUNGKYOO,의원회관 605호,https://www.assembly.go.kr/static/portal/img/openassm/new/ec481315df7b49b4b1a0e8761f41ca49.jpg,"<학력> 조림초, 임성중, 북일고등학교 졸업 고려대학교 정치외교학과 졸업 서울시립대 도시행정대학원 석사 서강대 영상대학원 광고홍보학 박사 <경력> 前 서울특별시 공보관&middot;홍보기획관 前 제18대 국회의원 前 제20대 대한야구협회 회장&middot;아시아야구연맹 회장 前 윤석열 대통령실 초대 시민사회수석"
Q129715Y,강유정,姜由楨,KANG YUJUNG,1975-12-15,더불어민주연합,비례대표,비례대표,,"국회운영위원회, 문화체육관광위원회",초선,여,,,,,https://www.assembly.go.kr/static/portal/img/openassm/Q129715Y.jpg,- 제22대 국회의원(더불어민주당/비례) - 국회 운영위원회 위원 - 국회 문화체육관광위원회 위원 - 더불어민주당 원내대변인
5KV96424,강준현,康準鉉,KANG JUNHYEON,1964-08-19,더불어민주당/더불어민주당,세종특별자치시을/세종특별자치시을,지역구/지역구,정무위원회,정무위원회,재선,남,02-784-6950,jhkang315@gmail.com,https://blog.naver.com/kangjunhyeon_,의원회관 637호,https://www.assembly.go.kr/static/portal/img/openassm/new/cf61b325757141748e07e055e1541468.jpg,-22대 국회의원(세종특별자치시 을) -22대 국회 정무위원회 간사 -21대 국회의원(세종특별자치시 을) -21대 국회 기획재정위원회 위원 -더불어민주당 세종시을 지역위원장 -더불어민주당 국가균형발전특별위원회 부위원장 -더불어민주당 K-뉴딜위원회 지역균형뉴딜분과위원회 위원 -더불어민주당 지방소멸대응TF 위원 -더불어민주당 세종시 을 지역위원장 -(前)세종특별자치시 정무부시장 -(前)행정안전부 정책자문위원회 지방자치분권과 위원 -(前)충남대학교 건축공학과 특임교수 -(前)더불어민주당 세종시당위원장
