proposer1,proposer2,collaboration_score
서미화,강경숙,59.00
서미화,강대식,59.00
서미화,강득구,59.00
서미화,강명구,59.00
서미화,강민국,59.00
서미화,강선영,59.00
서미화,강선우,59.00
서미화,강승규,59.00
서미화,강유정,59.00
서미화,강준현,59.00
서미화,강훈식,59.00
서미화,고동진,59.00
서미화,고민정,59.00
서미화,곽규택,59.00
서미화,곽상언,59.00
서미화,구자근,59.00
서미화,권성동,59.00
서미화,권영세,59.00
서미화,권영진,59.00
서미화,권칠승,59.00
서미화,권향엽,59.00
서미화,김건,59.00
서미화,김교흥,59.00
서미화,김기웅,59.00
서미화,김기표,59.00
서미화,김기현,59.00
서미화,김남근,59.00
서미화,김남희,59.00
서미화,김대식,59.00
서미화,김도읍,59.00
서미화,김동아,59.00
서미화,김문수,59.00
서미화,김미애,59.00
서미화,김민석,59.00
서미화,김민전,59.00
서미화,김병기,59.00
서미화,김병주,59.00
서미화,김상욱,59.00
서미화,김상훈,59.00
서미화,김석기,59.00
서미화,김선교,59.00
서미화,김선민,59.00
서미화,김성원,59.00
서미화,김성환,59.00
서미화,김성회,59.00
서미화,김소희,59.00
서미화,김승수,59.00
서미화,김승원,59.00
서미화,김영배,59.00
서미화,김영진,59.00
서미화,김영호,59.00
서미화,김영환,59.00
서미화,김예지,59.00
서미화,김용만,59.00
서미화,김용민,59.00
서미화,김용태,59.00
서미화,김우영,59.00
서미화,김원이,59.00
서미화,김위상,59.00
서미화,김윤,59.00
서미화,김윤덕,59.00
서미화,김은혜,59.00
서미화,김장겸,59.00
서미화,김재섭,59.00
서미화,김재원,59.00
서미화,김정재,59.00
서미화,김정호,59.00
서미화,김종민,59.00
서미화,김종양,59.00
서미화,김주영,59.00
서미화,김준혁,59.00
서미화,김준형,59.00
서미화,김태년,59.00
서미화,김태선,59.00
서미화,김태호,59.00
서미화,김한규,59.00
서미화,김현,59.00
서미화,김현정,59.00
서미화,김형동,59.00
서미화,김희정,59.00
서미화,나경원,59.00
서미화,남인순,59.00
서미화,노종면,59.00
서미화,맹성규,59.00
서미화,모경종,59.00
서미화,문금주,59.00
서미화,문대림,59.00
서미화,문정복,59.00
서미화,문진석,59.00
박충권,강경숙,103.00
박충권,강대식,103.00
박충권,강득구,103.00
박충권,강명구,103.00
박충권,강민국,103.00
박충권,강선영,103.00
박충권,강선우,103.00
박충권,강승규,103.00
박충권,강유정,103.00
박충권,강준현,103.00
박충권,강훈식,103.00
박충권,고동진,103.00
박충권,고민정,103.00
박충권,곽규택,103.00
박충권,곽상언,103.00
박충권,구자근,103.00
박충권,권성동,103.00
박충권,권영세,103.00
박충권,권영진,103.00
박충권,권칠승,103.00
박충권,권향엽,103.00
박충권,김건,103.00
박충권,김교흥,103.00
박충권,김기웅,103.00
박충권,김기표,103.00
박충권,김기현,103.00
박충권,김남근,103.00
박충권,김남희,103.00
박충권,김대식,103.00
박충권,김도읍,103.00
박충권,김동아,103.00
박충권,김문수,103.00
박충권,김미애,103.00
박충권,김민석,103.00
박충권,김민전,103.00
박충권,김병기,103.00
박충권,김병주,103.00
박충권,김상욱,103.00
박충권,김상훈,103.00
박충권,김석기,103.00
박충권,김선교,103.00
박충권,김선민,103.00
박충권,김성원,103.00
박충권,김성환,103.00
박충권,김성회,103.00
박충권,김소희,103.00
박충권,김승수,103.00
박충권,김승원,103.00
박충권,김영배,103.00
박충권,김영진,103.00
박충권,김영호,103.00
박충권,김영환,103.00
박충권,김예지,103.00
박충권,김용만,103.00
박충권,김용민,103.00
박충권,김용태,103.00
박충권,김우영,103.00
박충권,김원이,103.00
박충권,김위상,103.00
박충권,김윤,103.00
박충권,김윤덕,103.00
박충권,김은혜,103.00
박충권,김장겸,103.00
박충권,김재섭,103.00
박충권,김재원,103.00
박충권,김정재,103.00
박충권,김정호,103.00
박충권,김종민,103.00
박충권,김종양,103.00
박충권,김주영,103.00
박충권,김준혁,103.00
박충권,김준형,103.00
박충권,김태년,103.00
박충권,김태선,103.00
박충권,김태호,103.00
박충권,김한규,103.00
박충권,김현,103.00
박충권,김현정,103.00
박충권,김형동,103.00
박충권,김희정,103.00
박충권,나경원,103.00
박충권,남인순,103.00
박충권,노종면,103.00
박충권,맹성규,103.00
박충권,모경종,103.00
박충권,문금주,103.00
박충권,문대림,103.00
박충권,문정복,103.00
박충권,문진석,103.00
박은정,강경숙,12.00
박은정,강대식,12.00
박은정,강득구,12.00
박은정,강명구,12.00
박은정,강민국,12.00
박은정,강선영,12.00
박은정,강선우,12.00
박은정,강승규,12.00
박은정,강유정,12.00
박은정,강준현,12.00
박은정,강훈식,12.00
박은정,고동진,12.00
박은정,고민정,12.00
박은정,곽규택,12.00
박은정,곽상언,12.00
박은정,구자근,12.00
박은정,권성동,12.00
박은정,권영세,12.00
박은정,권영진,12.00
박은정,권칠승,12.00
박은정,권향엽,12.00
박은정,김건,12.00
박은정,김교흥,12.00
박은정,김기웅,12.00
박은정,김기표,12.00
박은정,김기현,12.00
박은정,김남근,12.00
박은정,김남희,12.00
박은정,김대식,12.00
박은정,김도읍,12.00
박은정,김동아,12.00
박은정,김문수,12.00
박은정,김미애,12.00
박은정,김민석,12.00
박은정,김민전,12.00
박은정,김병기,12.00
박은정,김병주,12.00
박은정,김상욱,12.00
박은정,김상훈,12.00
박은정,김석기,12.00
박은정,김선교,12.00
박은정,김선민,12.00
박은정,김성원,12.00
박은정,김성환,12.00
박은정,김성회,12.00
박은정,김소희,12.00
박은정,김승수,12.00
박은정,김승원,12.00
박은정,김영배,12.00
박은정,김영진,12.00
박은정,김영호,12.00
박은정,김영환,12.00
박은정,김예지,12.00
박은정,김용만,12.00
박은정,김용민,12.00
박은정,김용태,12.00
박은정,김우영,12.00
박은정,김원이,12.00
