proposer1,proposer2,collaboration_score
서미화,강경숙,276.00
서미화,강대식,276.00
서미화,강득구,276.00
서미화,강명구,276.00
서미화,강민국,276.00
서미화,강선영,276.00
서미화,강선우,276.00
서미화,강승규,276.00
서미화,강유정,482.50
서미화,강준현,276.00
서미화,강훈식,276.00
서미화,고동진,276.00
서미화,고민정,276.00
서미화,곽규택,276.00
서미화,곽상언,276.00
서미화,구자근,276.00
서미화,권성동,276.00
서미화,권영세,276.00
서미화,권영진,276.00
서미화,권칠승,276.00
서미화,권향엽,276.00
서미화,김건,276.00
서미화,김교흥,276.00
서미화,김기웅,276.00
서미화,김기표,276.00
서미화,김기현,276.00
서미화,김남근,276.00
서미화,김남희,276.00
서미화,김대식,276.00
서미화,김도읍,276.00
서미화,김동아,276.00
서미화,김문수,276.00
서미화,김미애,276.00
서미화,김민석,276.00
서미화,김민전,276.00
서미화,김병기,276.00
서미화,김병주,276.00
서미화,김상욱,276.00
서미화,김상훈,276.00
서미화,김석기,276.00
서미화,김선교,276.00
서미화,김선민,276.00
서미화,김성원,276.00
서미화,김성환,276.00
서미화,김성회,276.00
서미화,김소희,276.00
서미화,김승수,276.00
서미화,김승원,276.00
서미화,김영배,276.00
서미화,김영진,276.00
서미화,김영호,276.00
서미화,김영환,276.00
서미화,김예지,276.00
서미화,김용만,276.00
서미화,김용민,276.00
서미화,김용태,276.00
서미화,김우영,276.00
서미화,김원이,276.00
서미화,김위상,276.00
서미화,김윤,482.50
서미화,김윤덕,276.00
서미화,김은혜,276.00
서미화,김장겸,276.00
서미화,김재섭,276.00
서미화,김재원,276.00
서미화,김정재,276.00
서미화,김정호,276.00
서미화,김종민,276.00
서미화,김종양,276.00
서미화,김주영,276.00
서미화,김준혁,276.00
서미화,김준형,276.00
서미화,김태년,276.00
서미화,김태선,276.00
서미화,김태호,276.00
서미화,김한규,276.00
서미화,김현,276.00
서미화,김현정,276.00
서미화,김형동,276.00
서미화,김희정,276.00
서미화,나경원,276.00
서미화,남인순,276.00
서미화,노종면,276.00
서미화,맹성규,276.00
서미화,모경종,276.00
서미화,문금주,276.00
서미화,문대림,276.00
서미화,문정복,276.00
서미화,문진석,276.00
서미화,민병덕,276.00
서미화,민형배,276.00
서미화,민홍철,276.00
서미화,박균택,276.00
서미화,박대출,276.00
서미화,박덕흠,276.00
서미화,박민규,276.00
서미화,박범계,276.00
서미화,박상웅,276.00
서미화,박상혁,276.00
서미화,박선원,276.00
서미화,박성민,276.00
서미화,박성준,276.00
서미화,박성훈,276.00
서미화,박수민,276.00
서미화,박수영,276.00
서미화,박수현,276.00
서미화,박용갑,276.00
서미화,박은정,276.00
서미화,박정,276.00
서미화,박정하,276.00
서미화,박정현,276.00
서미화,박정훈,276.00
서미화,박주민,276.00
서미화,박준태,276.00
서미화,박지원,276.00
서미화,박지혜,276.00
서미화,박찬대,276.00
서미화,박충권,276.00
서미화,박해철,276.00
서미화,박형수,276.00
서미화,박홍근,276.00
서미화,박홍배,482.50
서미화,박희승,276.00
서미화,배준영,276.00
서미화,배현진,276.00
서미화,백선희,276.00
서미화,백승아,482.50
서미화,백종헌,276.00
서미화,백혜련,276.00
서미화,복기왕,276.00
서미화,부승찬,276.00
서미화,서명옥,276.00
서미화,서범수,276.00
서미화,서삼석,276.00
서미화,서영교,276.00
서미화,서영석,276.00
서미화,서왕진,276.00
서미화,서일준,276.00
서미화,서지영,276.00
서미화,서천호,276.00
서미화,안규백,276.00
서미화,안도걸,276.00
서미화,안상훈,276.00
서미화,안철수,276.00
서미화,안태준,276.00
서미화,안호영,276.00
서미화,양문석,276.00
서미화,양부남,276.00
서미화,어기구,276.00
서미화,엄태영,276.00
서미화,염태영,276.00
서미화,오기형,276.00
서미화,오세희,482.50
서미화,용혜인,482.50
서미화,우원식,276.00
서미화,우재준,276.00
서미화,위성곤,276.00
서미화,위성락,482.50
서미화,유동수,276.00
서미화,유상범,276.00
서미화,유영하,276.00
서미화,유용원,276.00
서미화,윤건영,276.00
서미화,윤상현,276.00
서미화,윤영석,276.00
서미화,윤재옥,276.00
서미화,윤종군,276.00
서미화,윤종오,276.00
서미화,윤준병,276.00
서미화,윤한홍,276.00
서미화,윤호중,276.00
서미화,윤후덕,276.00
서미화,이강일,276.00
서미화,이개호,276.00
서미화,이건태,276.00
서미화,이광희,276.00
서미화,이기헌,276.00
서미화,이달희,276.00
서미화,이만희,276.00
서미화,이병진,276.00
서미화,이상식,276.00
서미화,이상휘,276.00
서미화,이성권,276.00
서미화,이성윤,276.00
서미화,이소영,276.00
서미화,이수진,276.00
서미화,이양수,276.00
서미화,이언주,276.00
서미화,이연희,276.00
서미화,이용선,276.00
서미화,이용우,276.00
서미화,이원택,276.00
서미화,이인선,276.00
서미화,이인영,276.00
서미화,이재강,276.00
서미화,이재관,276.00
서미화,이재명,276.00
서미화,이재정,276.00
서미화,이정문,276.00
서미화,이정헌,276.00
서미화,이종배,276.00
서미화,이종욱,276.00
