member_name,bill_id,bill_name,bill_type,role,proposal_date,committee_name,proposer_name
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
강경숙,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,결의안,representative,2024-06-13,여성가족위원회,강경숙의원 등 16인
강경숙,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,법률안,representative,2024-06-04,교육위원회,강경숙의원 등 17인
