의원명,정당,위원회,법안ID,법안명,발의자,위원회명,상태,발의유형
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_A2R4E0W6T0J4L1W3B4D5B3X5Z2Y1Z0,정서행동위기학생 지원에 관한 법률안,강경숙의원 등 17인,교육위원회,,공동발의
강경숙,조국혁신당,교육위원회,PRC_C2A4Q0Q6O1P0O1O4M1U3V4T1U6S9T9,새만금 잼버리대회 국제행사 관리 실패 진상규명 촉구 결의안,강경숙의원 등 16인,여성가족위원회,,공동발의
