이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,질적점수,협력점수,연결성점수,종합점수,등급,클러스터참여
박대출,국민의힘,기획재정위원회,경남 진주시갑/경남 진주시갑/경남 진주시갑/경남 진주시갑,0,110,110,4,3.0,760239.0,760239.0,705.0,S+,Yes
김정재,국민의힘,국토교통위원회,경북 포항시북구/경북 포항시북구/경북 포항시북구,0,70,70,5,3.3,672518.7,672518.7,627.7,S+,Yes
한정애,더불어민주당,외교통일위원회,비례대표/서울 강서구병/서울 강서구병/서울 강서구병,0,280,280,5,3.1,659786.2,659786.2,518.7,S+,Yes
한병도,더불어민주당,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 예산결산특별위원회, 국토교통위원회",전북 익산시/전북 익산시을 /전북 익산시을,0,260,260,10,3.5,590653.0,590653.0,479.3,S+,Yes
민형배,더불어민주당,문화체육관광위원회,광주 광산구을/광주 광산구을,0,240,240,9,3.0,577966.9,577966.9,465.5,S+,Yes
김상훈,국민의힘,정무위원회,대구 서구/대구 서구/대구 서구/대구 서구,0,30,30,2,3.7,459820.8,459820.8,436.1,S+,Yes
박정,더불어민주당,환경노동위원회,경기 파주시을/경기 파주시을/경기 파주시을,0,180,180,7,3.4,393083.1,393083.1,429.8,S+,Yes
이수진,더불어민주당,"보건복지위원회, 예산결산특별위원회",비례대표/경기 성남시중원구,0,150,150,4,3.7,507709.6,507709.6,411.6,S+,Yes
임이자,국민의힘,"기후위기 특별위원회, 기획재정위원회",비례대표/경북 상주시문경시 /경북 상주시문경시,0,150,150,2,3.7,423309.0,423309.0,389.3,S+,Yes
고민정,더불어민주당,"교육위원회, 예산결산특별위원회",서울 광진구을/서울 광진구을,0,50,50,3,3.4,434296.0,434296.0,359.8,S+,Yes
고동진,국민의힘,행정안전위원회,서울 강남구병,0,30,30,3,3.7,349963.5,349963.5,339.1,S+,Yes
김미애,국민의힘,"보건복지위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 연금개혁 특별위원회",부산 해운대구을/부산 해운대구을,0,30,30,3,3.0,323331.0,323331.0,316.4,S+,Yes
