이름,정당,위원회,지역구,대표발의,공동발의,총법안,위원회다양성,점수,등급
한병도,더불어민주당,"윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 예산결산특별위원회, 국토교통위원회",전북 익산시/전북 익산시을 /전북 익산시을,0,260,260,10,310,S+
한정애,더불어민주당,외교통일위원회,비례대표/서울 강서구병/서울 강서구병/서울 강서구병,0,280,280,5,305,S+
민형배,더불어민주당,문화체육관광위원회,광주 광산구을/광주 광산구을,0,240,240,9,285,S+
박정,더불어민주당,환경노동위원회,경기 파주시을/경기 파주시을/경기 파주시을,0,180,180,7,215,S+
이병진,더불어민주당,"농림축산식품해양수산위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 예산결산특별위원회",경기 평택시을,0,170,170,3,185,S
김승수,국민의힘,문화체육관광위원회,대구 북구을/대구 북구을,0,160,160,4,180,S
김선교,국민의힘,농림축산식품해양수산위원회,경기 여주시양평군/경기 여주시양평군,0,150,150,5,175,S
이수진,더불어민주당,"보건복지위원회, 예산결산특별위원회",비례대표/경기 성남시중원구,0,150,150,4,170,S
임이자,국민의힘,"기후위기 특별위원회, 기획재정위원회",비례대표/경북 상주시문경시 /경북 상주시문경시,0,150,150,2,160,S
권영세,국민의힘,"정보위원회, 기획재정위원회",서울특별시 영등포구을/서울특별시 영등포구을/서울 영등포구을/서울 용산구/서울 용산구,0,130,130,5,155,S
문금주,더불어민주당,"농림축산식품해양수산위원회, 12.29여객기참사진상규명과피해자및유가족의피해구제를위한특별위원회, 국회운영위원회",전남 고흥군보성군장흥군강진군,10,90,100,4,140,A+
김성원,국민의힘,산업통상자원중소벤처기업위원회,경기 동두천시연천군/경기 동두천시연천군/경기 동두천시양주시연천구을,0,100,100,7,135,A+
김한규,더불어민주당,"산업통상자원중소벤처기업위원회, 여성가족위원회, 예산결산특별위원회",제주 제주시을/제주 제주시을,0,110,110,5,135,A+
서영교,더불어민주당,"법제사법위원회, 여성가족위원회",서울 중랑구갑/서울 중랑구갑/서울 중랑구갑/서울 중랑구갑,0,110,110,5,135,A+
박대출,국민의힘,기획재정위원회,경남 진주시갑/경남 진주시갑/경남 진주시갑/경남 진주시갑,0,110,110,4,130,A+
홍기원,더불어민주당,"외교통일위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회",경기 평택시갑/경기 평택시갑,0,100,100,6,130,A+
백혜련,더불어민주당,"보건복지위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경기 수원시을/경기 수원시을/경기 수원시을,0,100,100,5,125,A+
민홍철,더불어민주당,"국토교통위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회",경남 김해시갑/경남 김해시갑/경남 김해시갑/경남 김해시갑,0,100,100,4,120,A+
박충권,국민의미래,"과학기술정보방송통신위원회, 국회운영위원회",비례대표,0,100,100,4,120,A+
박해철,더불어민주당,환경노동위원회,경기 안산시병,0,110,110,2,120,A+
김희정,국민의힘,국토교통위원회,부산광역시 연제구/부산 연제구/부산 연제구,0,100,100,3,115,A+
강대식,국민의힘,국방위원회,대구 동구을/대구 동구군위군을,0,90,90,4,110,A+
이연희,더불어민주당,"여성가족위원회, 2025 아시아태평양경제협력체(APEC) 정상회의 지원 특별위원회, 행정안전위원회",충북 청주시흥덕구,0,80,80,6,110,A+
이학영,더불어민주당,환경노동위원회,경기 군포시/경기 군포시을/경기 군포시/경기 군포시,0,90,90,4,110,A+
한준호,더불어민주당,국토교통위원회,경기 고양시을/경기 고양시을,30,10,40,2,110,A+
강유정,더불어민주연합,,비례대표,0,100,100,1,105,A+
박희승,더불어민주당,"예산결산특별위원회, 보건복지위원회",전북 남원시장수군임실군순창군,0,80,80,5,105,A+
이정문,더불어민주당,정무위원회,충남 천안시병/충남 천안시병,0,90,90,3,105,A+
김영배,더불어민주당,"외교통일위원회, 국회운영위원회",서울 성북구갑/서울 성북구갑,0,80,80,4,100,A+
김정호,더불어민주당,"산업통상자원중소벤처기업위원회, 기후위기 특별위원회, 산불피해지원대책 특별위원회",경남 김해시을/경남 김해시을/경남 김해시을,0,70,70,6,100,A+
박홍배,더불어민주연합,"환경노동위원회, 연금개혁 특별위원회, 여성가족위원회",비례대표,0,90,90,2,100,A+
이종배,국민의힘,"산업통상자원중소벤처기업위원회, 예산결산특별위원회",충북 충주시/충북 충주시/충북 충주시/충북 충주시,0,70,70,6,100,A+
주호영,국민의힘,행정안전위원회,대구광역시 수성구을/대구 수성구을/대구 수성구을/대구 수성구을/대구 수성구갑/대구 수성구갑,0,70,70,6,100,A+
구자근,국민의힘,산업통상자원중소벤처기업위원회,경북 구미시갑/경북 구미시갑,0,70,70,5,95,A
김정재,국민의힘,국토교통위원회,경북 포항시북구/경북 포항시북구/경북 포항시북구,0,70,70,5,95,A
진성준,더불어민주당,기획재정위원회,비례대표/서울 강서구을/서울 강서구을,0,80,80,3,95,A
황명선,더불어민주당,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 국방위원회",충남 논산시계룡시금산군,0,70,70,5,95,A
박상혁,더불어민주당,"정무위원회, 국회운영위원회",경기 김포시을/경기 김포시을,0,70,70,4,90,A
엄태영,국민의힘,국토교통위원회,충북 제천시단양군/충북 제천시단양군,0,70,70,4,90,A
곽규택,국민의힘,"법제사법위원회, 순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 윤석열정부의비상계엄선포를통한내란혐의진상규명국정조사특별위원회, 국회운영위원회",부산 서구동구,0,70,70,3,85,A
김용만,더불어민주당,"정무위원회, 예산결산특별위원회",경기 하남시을,0,70,70,3,85,A
유상범,국민의힘,"순직 해병 수사 방해 및 사건 은폐 등의 진실규명을 위한 국정조사특별위원회, 기획재정위원회, 국회운영위원회",강원 홍천군횡성군영월군평창군/강원 홍천군횡성군영월군평창군,0,60,60,5,85,A
이해식,더불어민주당,행정안전위원회,서울 강동구을/서울 강동구을,0,80,80,1,85,A
김예지,국민의미래,보건복지위원회,비례대표/비례대표,0,60,60,4,80,A
이헌승,국민의힘,"정무위원회, 기후위기 특별위원회",부산 부산진구을/부산 부산진구을/부산 부산진구을/부산 부산진구을,0,60,60,4,80,A
황정아,더불어민주당,"과학기술정보방송통신위원회, 예산결산특별위원회",대전 유성구을,0,60,60,4,80,A
김윤,더불어민주연합,"보건복지위원회, 예산결산특별위원회",비례대표,0,60,60,3,75,B+
김윤덕,더불어민주당,문화체육관광위원회,전북 전주시완산구갑/전북 전주시갑/전북 전주시갑,0,60,60,3,75,B+
남인순,더불어민주당,"보건복지위원회, 연금개혁 특별위원회",비례대표/서울 송파구병/서울 송파구병/서울 송파구병,0,60,60,3,75,B+
이용선,더불어민주당,외교통일위원회,서울 양천구을/서울 양천구을,0,60,60,3,75,B+
조정식,더불어민주당,외교통일위원회,경기 시흥시을/경기 시흥시을/경기 시흥시을/경기 시흥시을/경기 시흥시을/경기 시흥시을,0,50,50,5,75,B+
김문수,더불어민주당,교육위원회,전남 순천시광양시곡성군구례군갑,0,60,60,2,70,B+
김영진,더불어민주당,"기획재정위원회, 정보위원회",경기 수원시병/경기 수원시병/경기 수원시병,0,60,60,2,70,B+
