party_combination,collaboration_count,total_score,avg_score
국민의힘 ↔ 조국혁신당,182,21888.0,120.26373626373626
국민의힘 ↔ 국민의힘,667,164912.0,247.24437781109447
국민의힘 ↔ 더불어민주당,2025,262987.0,129.8701234567901
국민의미래 ↔ 국민의힘,311,32976.0,106.03215434083602
국민의힘 ↔ 더불어민주연합,76,11400.0,150.0
국민의힘 ↔ 새로운미래,23,3490.0,151.7391304347826
더불어민주연합 ↔ 조국혁신당,10,1062.0,106.2
더불어민주당 ↔ 더불어민주연합,111,12672.0,114.16216216216216
국민의미래 ↔ 더불어민주연합,17,1610.0,94.70588235294117
더불어민주연합 ↔ 더불어민주연합,1,304.0,304.0
더불어민주연합 ↔ 새로운미래,1,154.0,154.0
더불어민주당 ↔ 조국혁신당,267,23557.0,88.22846441947566
더불어민주당 ↔ 더불어민주당,1452,218901.0,150.7582644628099
국민의미래 ↔ 더불어민주당,456,33477.0,73.41447368421052
더불어민주당 ↔ 새로운미래,33,2963.0,89.78787878787878
조국혁신당 ↔ 조국혁신당,9,1227.0,136.33333333333334
국민의미래 ↔ 조국혁신당,41,3010.0,73.41463414634147
새로운미래 ↔ 조국혁신당,3,259.0,86.33333333333333
국민의미래 ↔ 국민의미래,30,3026.0,100.86666666666666
국민의미래 ↔ 새로운미래,5,278.0,55.6
